10001,1,0,0,0,1,0,1,1,1,1,1,0,1,1
10002,1,0,0,0,1,0,1,1,1,0,1,0,1,0
10003,1,0,0,0,1,1,0,1,1,0,1,0,1,1
10004,0,1,0,0,1,0,1,1,1,1,1,0,1,1
10005,0,1,0,0,1,1,0,1,1,0,1,0,1,1
10006,0,1,0,0,0,1,1,1,1,0,1,0,1,1
10007,0,0,1,1,1,0,1,1,1,1,1,0,1,1
10008,0,0,1,1,0,0,1,1,0,0,1,0,1,0
10009,0,0,1,1,1,0,0,1,1,0,1,0,1,1
10010,1,0,0,0,1,1,0,1,1,0,1,0,1,1
10011,1,0,0,0,1,1,1,1,1,0,1,0,1,1
10012,1,0,0,0,0,1,1,1,1,0,1,0,1,1
10013,1,0,0,0,1,1,1,1,1,0,1,0,1,1
10014,1,0,0,0,1,1,1,1,1,0,1,0,1,1
34001,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34002,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34003,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34004,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34005,0,0,1,1,1,1,1,1,1,1,1,1,1,1
34006,1,1,1,1,1,1,1,1,1,1,1,1,1,1
34007,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34008,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34009,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34010,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34011,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34012,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34013,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34014,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34015,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34016,0,1,1,1,1,1,1,1,1,1,1,1,1,1
34017,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34018,0,0,0,1,1,1,1,1,1,1,1,1,1,1
34019,0,0,0,1,1,1,1,1,1,1,1,1,1,1
