34041,46.83,0.63,0,0.07,0.7,0.056,0.028,16.8,0.49,0,3.5,0,0.497,1.848,9.38
34042,25.84,0.408,0,0.034,0,0.007,0.02,7.878,0.065,0,2.298,0,0.231,3.611,2.363
34043,51.68,0.816,0,0.068,0,0.014,0.041,15.756,0.129,0,4.597,0,0.462,7.222,4.726
34045,27.6,0.42,0,0.24,1.326,0.024,0.012,31.2,0.06,0,5.496,0,0.42,4.884,5.94
34046,15.75,0.35,0,0.07,4.151,0.018,0.011,6.909,0.028,0,4.032,0,0.49,1.439,3.024
34050,30.6,0.68,0,0.136,8.065,0.034,0.02,13.423,0.054,0,7.834,0,0.952,2.795,5.875
34051,32.94,0.216,0,0.054,0,0.049,0.022,4.46,0.113,0,5.578,0,0.616,2.23,6.08
34052,65.88,0.432,0,0.108,0,0.097,0.043,8.921,0.227,0,11.156,0,1.231,4.46,12.161
34053,67.1,0.22,0,0.11,7.788,0.022,0.033,2.2,0.55,0,13.2,0,0.66,70.4,12.111
34054,35,0.9,0,0.1,1,0.03,0.01,9,0.5,0,9,0,4.7,4,1.72
34055,17.5,0.45,0,0.05,0.5,0.015,0.005,4.5,0.25,0,4.5,0,2.35,2,0.86
34056,100.8,1.12,0,0.16,4.472,0.024,0.088,6.368,0.272,0,1.816,0,1.816,6.368,15.104
34057,18.2,0.245,0,0.035,0.441,0.014,0.028,54.054,0.077,0,1.134,0,1.474,2.268,2.723
34058,25.5,0.24,0,0.06,0.879,0.021,0.006,8.994,0.063,0,1.551,0,0.651,0.309,2.976
34059,12.3,0.15,0,0.03,12.111,0.012,0.015,10.8,0.063,0,2.469,0,0.495,0.927,2.85
34060,13.8,0.21,0,0.12,0.663,0.012,0.006,15.6,0.03,0,2.748,0,0.21,2.442,2.97
34062,19.95,0.175,0,0.035,0.172,0.011,0.014,0.175,0.06,0,1.761,0,0.41,2.055,4.316
34063,33.55,0.11,0,0.055,3.894,0.011,0.017,1.1,0.275,0,6.6,0,0.33,35.2,6.056
35001,122,6.4,0,7.4,70,0.08,0.42,0,0.2,0,204,0,0,90,7.4
35002,134,6.6,0,7.6,58,0.08,0.48,0,0.2,0,226,0,0,102,8.8
36001,66.556,6.548,0,4.213,117.499,0.04,0.167,0,0.67,0,24.697,0,0,68.667,0.314
36002,33.278,3.274,0,2.107,58.749,0.02,0.083,0,0.335,0,12.349,0,0,34.334,0.157
36005,108.198,6.548,0,8.84,117.499,0.04,0.167,0,0.67,0,24.697,0,0,68.667,0.314
36006,6.35,0.94,0,0.28,181.322,0.018,0.129,0.985,0.495,0,0.35,0,0,3.906,0
36007,3.81,0.564,0,0.168,108.793,0.011,0.077,0.591,0.297,0,0.21,0,0,2.344,0
36008,6.3,0.995,0,0.2,311.17,0.017,0.051,1.211,1.115,0,0.45,0,0,4.164,0
36009,3.78,0.597,0,0.12,186.702,0.01,0.031,0.726,0.669,0,0.27,0,0,2.498,0
36010,3.926,0.923,0,0.026,1.607,0,0.007,0,1.677,0,1.3,0,0,41.21,0
36011,4.424,1.106,0,0,3.64,0,0.014,0,3.626,0,0.98,0,0,22.618,0
36012,33.213,5.21,0,1.352,0.728,0.001,0.01,0,0.416,0,94.12,0,0,33.28,0
36013,21.575,3.725,0,0.475,0,0,0,0,0.15,0,9.325,0,0,155,0
36014,35.1,3.3,0,1.5,0,0,0,0,0.175,0,7.425,0,0,164,0.25
36015,40.275,3.975,0,2.275,0,0,0,0,0.15,0,8.95,0,0,144.75,0.125
36016,24.2,3.45,0,0.4,0,0,0,0,0.25,0,7.75,0,0,173,0
36017,57.625,3.175,0,3.325,0,0,0,0,0.225,0,7.55,0,0,171.25,0.725
36018,65.27,3.274,0,5.661,58.749,0.02,0.083,0,0.335,0,12.349,0,0,34.334,0.157
36019,37.969,4.536,0,1.923,0.683,0.027,0.038,0,0.462,0,35.28,0,0,171.36,0
36020,62.431,7.56,0,3.577,13.029,0.026,0.09,0,0.26,0,31.2,0,0,92.6,0
36021,75.938,9.072,0,3.846,1.365,0.055,0.076,0,0.924,0,70.56,0,0,342.72,0
36022,124.862,15.12,0,7.154,26.059,0.052,0.18,0,0.52,0,62.4,0,0,185.2,0
36023,22.725,3.575,0,0.525,1.5,0.005,0.459,0,0.5,0,95,0,0.25,99.5,0.025
36024,49.995,7.865,0,1.155,3.3,0.011,1.01,0,1.1,0,209,0,0.55,218.9,0.055
36025,130.54,6.548,0,11.323,117.499,0.04,0.167,0,0.67,0,24.697,0,0,68.667,0.314
36026,16.639,1.637,0,1.053,29.375,0.01,0.042,0,0.167,0,6.174,0,0,17.167,0.078
36027,32.635,1.637,0,2.831,29.375,0.01,0.042,0,0.167,0,6.174,0,0,17.167,0.078
36028,10.305,1.872,0,0.105,2.614,0.005,0.01,0,0.138,0,7.08,0,0,15.873,0
36029,6.12,0.245,0,0.031,15.503,0.006,0.012,2.907,0.092,0,4.896,0,0.612,8.874,0.681
36030,8,0.32,0,0.04,20.266,0.008,0.016,3.8,0.12,0,6.4,0,0.8,11.6,0.89
36031,3.9,0.15,0,0.045,5.088,0.011,0.006,4.05,0.06,0,1.2,0,0.195,1.8,0.474
36032,5.2,0.2,0,0.06,6.784,0.014,0.008,5.4,0.08,0,1.6,0,0.26,2.4,0.632
36033,3.45,0.12,0,0.015,0.65,0.006,0.008,1.8,0.06,0,3,0,0.15,0.75,0.321
36034,4.6,0.16,0,0.02,0.866,0.008,0.01,2.4,0.08,0,4,0,0.2,1,0.428
36035,3,0.075,0,0.015,0.038,0.003,0.005,1.8,0.075,0,0.9,0,0.105,2.25,0
36036,4,0.1,0,0.02,0.05,0.004,0.006,2.4,0.1,0,1.2,0,0.14,3,0
36037,103.949,12.876,0,5.827,22.385,0.022,0.2,0,0.666,0,37.74,0,0,64.38,0
36038,51.974,6.438,0,2.914,11.193,0.011,0.1,0,0.333,0,18.87,0,0,32.19,0
